id,title,author,authoryearofbirth,authoryearofdeath,language,downloads,genre_war,genre_biography,genre_romance,genre_drama,genre_fantasy,genre_family,genre_science,genre_action,genre_thriller,genre_western,genre_horror,genre_mystery,genre_crime,genre_history,genre_periodicals,genre_christian,genre_other,N_tokens,log_N_tokens,N_sentences,log_N_sentences,n_nodes,n_edges,network_density,average_clustering,modularity,average_shortest_path_largest_component
PG10322,Miss Prudence: A Story of Two Girls' Lives.,"Conklin, Nathaniel, Mrs.",1841.0,1900.0,['en'],30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,135759.0,11.818636533941085,6451.0,8.771990436532242,64.0,104.0,0.051587301587301584,0.026033203827404035,0.19040705418509246,2.669642857142857
PG10323,"The Rover Boys at College; Or, The Right Road and the Wrong","Stratemeyer, Edward",1862.0,1930.0,['en'],52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70452.0,11.162686905852187,4077.0,8.313116702819253,41.0,75.0,0.09146341463414634,0.03678529550623355,0.18228445290858725,2.5817073170731706
PG10327,Alias the Lone Wolf,"Vance, Louis Joseph",1879.0,1933.0,['en'],122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,114206.0,11.645759114228454,4715.0,8.458504195067558,31.0,54.0,0.11612903225806452,0.03617093048444183,0.2673611111111111,2.3913978494623658
PG10330,Fruitfulness,"Zola, Émile",1840.0,1902.0,['en'],146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,205352.0,12.232480858806476,8201.0,9.012011377036412,77.0,139.0,0.04750512645249488,0.014276161060238648,0.385467529296875,3.010252904989747
PG10339,An Antarctic Mystery,"Verne, Jules",1828.0,1905.0,['en'],324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,97059.0,11.483074320000712,3984.0,8.290041618704489,23.0,28.0,0.11067193675889328,0.06072302812527521,0.43158284023668647,2.7707509881422925
PG10340,Dab Kinzer: A Story of a Growing Boy,"Stoddard, William O.",1835.0,1925.0,['en'],75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86176.0,11.364146995611325,3797.0,8.241966560231802,43.0,80.0,0.08859357696567,0.06968306928382345,0.35516578287978556,2.7929125138427464
PG10342,The Velvet Glove,"Merriman, Henry Seton",1862.0,1903.0,['en'],119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,88322.0,11.388744506182066,4859.0,8.488587934405903,21.0,31.0,0.14761904761904762,0.027124159294332074,0.09281293191514929,2.2
PG10358,The Boss of Little Arcady,"Wilson, Harry Leon",1867.0,1939.0,['en'],182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,105339.0,11.564938999922262,4310.0,8.368693183097793,26.0,28.0,0.08615384615384615,0.010570554871741413,0.44314236111111105,2.9723076923076923
PG10359,Aunt Jane's Nieces at Millville,"Baum, L. Frank (Lyman Frank)",1856.0,1919.0,['en'],52,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,61983.0,11.034615432880917,2881.0,7.9658927350845286,30.0,53.0,0.12183908045977011,0.056547786842157124,0.30076698319941564,2.5517241379310347
PG10364,Yeast: a Problem,"Kingsley, Charles",1819.0,1875.0,['en'],68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119927.0,11.694638503321052,4355.0,8.379079889286603,27.0,34.0,0.09686609686609686,0.01788304590836984,0.17459373761395164,2.319088319088319
